,Text_token
70,"['hijacking', 'tactics', 'look', 'south', 'africa', 'including', 'blockage', 'laptop', 'importer', 'methods', 'business', 'tech', 'via', 'google', 'news']"
71,"['hijacking', 'tactics', 'look', 'south', 'africa', 'including', 'blockage', 'tap', 'business', 'tech']"
72,"['hijacking', 'tactics', 'look', 'south', 'africa', 'including', 'blockage', 'laptop', 'importer', 'methods']"
73,"['enc', 'come', 'fake', 'asylum', 'seekers', 'want', 'part', 'south', 'africa', 'theyre', 'busy', 'selling', 'counterfeit', 'expired', 'food', 'communities', 'hijacking', 'food', 'trucks', 'illegal', 'things', 'dont', 'space', 'people', 'integrity', 'respect', 'laws']"
74,"['hijacking', 'tactics', 'look', 'south', 'africa', 'including', 'blockage', 'laptop', 'impostermethods']"
75,"['hijacking', 'tactics', 'look', 'south', 'africa', 'including', 'blockage', 'laptop', 'importer', 'methods']"
76,"['new', 'hijacking', 'trend', 'south', 'africa', 'convenient', 'fast', 'food', 'cape', 'town', 'etc']"
77,"['new', 'hijacking', 'trend', 'south', 'africa', 'convenient', 'fast', 'food', 'allcapetown', 'capetown']"
78,"['patrons', 'fast', 'food', 'outlets', 'sitting', 'ducks', 'easy', 'targets', 'buddies', 'grab', 'go', 'minus', 'happy', 'meal', 'theres', 'new', 'hijacking', 'trend', 'south', 'africa']"
79,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'via', 'businesstech', 'sa']"
80,"['vehicle', 'tracker', 'another', 'hijacking', 'trend', 'look', 'south', 'africa', 'drivethrus', 'aint', 'safe']"
81,"['mfundisiwa', 'vari', 'south', 'africa', 'wed', 'rather', 'hear', 'every', 'radio', 'station', 'german', 'tourist', 'shot', 'dead', 'attempted', 'hijacking', '3', 'consecutive', 'days', 'hurts']"
82,"['anton', 'black', 'mr', 'books', 'everton', 'luhanga', 'scroll', 'africa', 'youve', 'got', 'zimbabweans', 'botswana', 'dont', 'go', 'around', 'spring', 'cars', 'killing', 'farmers', 'hijacking', 'cars', 'opening', 'churches', 'space', 'find', 'shows', 'disrespectful', 'south', 'africa']"
83,"['news', 'south', 'africa', 'fatal', 'scholar', 'transport', 'hijacking', 'faranani', 'primary']"
84,"['dad', 'shot', 'dead', 'trying', 'stop', 'hijacking', 'via', 'tube', 'south', 'africa', 'crime', 'news']"
85,"['un', 'geneva', 'antonioguterres', 'un', 'news', 'centre', 'related', 'problem', 'south', 'africa', 'kidnapping', 'hijacking', 'drugs', 'zamazamas', 'influx', 'illegal', 'immigrants', 'many', 'guns', 'illegal', 'zimbabweans', 'smuggling', 'explosives', 'sa', 'war', 'weapons', 'guys', 'quite', 'like', 'egg']"
86,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'via', 'businesstech', 'sa', 'careful', 'alert', 'drive', 'thru', 'establishments']"
87,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'via', 'business', 'tech', 'sa']"
88,"['parent', 'shot', 'dead', 'trying', 'stop', 'hijacking', 'scholar', 'transport', 'outside', 'sowetoschool']"
89,"['always', 'observant', 'surrounds', 'new', 'hijacking', 'trend', 'look', 'south', 'africa']"
90,"['parent', 'shot', 'dead', 'trying', 'stop', 'hijacking', 'scholar', 'transport', 'outside', 'howto', 'school', 'according', 'gluten', 'department', 'education', 'unfortunate', 'premium', 'water', 'crisis', 'south', 'africa', 'brink', 'systemic', 'failure']"
91,"['kanye', 'east', 'west', 'check', 'x', 'head', 'pakistani', 'hijacking', 'syndicate', 'south', 'africa', 'named', 'urban', 'ukraine', 'credits', 'due']"
92,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'via', 'businesstech', 'sa']"
93,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'via', 'businesstech', 'sa']"
94,"['south', 'africa', 'becoming', 'unsafe', 'bolt', 'drives', 'uber', 'drivers', 'kidnapping', 'women', 'ladies', 'vigilant', 'theres', 'recent', 'abduction', 'prominent', 'malls', 'yesterday', 'get', 'looked', 'like', 'attempted', 'hijacking', 'going', 'start', 'traveling', 'bodyguards']"
95,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'via', 'businesstech', 'sa']"
96,"['new', 'hijacking', 'trend', 'look', 'south', 'africa']"
97,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'joy', 'live', 'country']"
98,"['kanye', 'east', 'head', 'pakistani', 'hijacking', 'syndicate', 'south', 'africa', 'named', 'redbull', 'kyiv', 'zum', 'credits', 'due']"
99,"['rzburg', 'mid', 'city', 'rzburg', 'za', 'co', 'j', 'public', 'safety', 'mayor', 'data', 'moreno', 'gp', 'comm', 'safety', 'gt', 'traffstats', 'sa', 'police', 'service', 'abramjee', 'state', 'emergency', 'assist', 'criminals', 'stay', 'one', 'place', '200', '0500', 'lets', 'start', 'south', 'africa', 'experiences', 'murders', 'hijacking']"
100,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'via', 'businesstech', 'sa']"
101,"['new', 'hijacking', 'trend', 'look', 'south', 'africa']"
102,"['new', 'hijacking', 'trend', 'revealed', 'drivethru', 'method', 'security', 'experts', 'warned', 'dangerous', 'new', 'hijacking', 'trend', 'south', 'africa', 'serves', 'catch', 'victims', 'offguard']"
103,"['caution', 'new', 'hijacking', 'trends', 'south', 'africa', 'increasingly', 'starting', 'see', 'concerning', 'trend', 'criminals', 'target', 'unsuspecting', 'patrons', 'drivethru', 'establishments', 'read', 'hijackingtrends', 'hijacking', 'staystafe']"
104,"['new', 'hijacking', 'trend', 'look', 'south', 'africa', 'business', 'tech']"
105,"['new', 'hijacking', 'trend', 'look', 'south', 'africa']"
106,"['new', 'hijacking', 'trend', 'look', 'south', 'africa']"
107,"['south', 'africa', 'cars', 'universal', 'least', 'shooting', 'kidnapping', 'happens', 'hijacking', 'car', 'thieves', 'killing', 'us', 'things', 'easily', 'replace']"
108,"['ancientnmodern', 'artbookreviews', 'well', 'hijacking', 'threads', 'remember', 'separate', 'south', 'africa', 'desperate', 'germany']"
109,"['dream', 'weaver5166', 'juleesomething', 'stardom17', 'live', 'south', 'africa', 'yes', 'damn', 'good', 'idea', 'already', 'live', 'high', 'walks', 'electric', 'fences', 'hijacking', 'galore', 'list', 'long', 'tweet']"
110,"['security', 'risk', 'assessment', 'south', 'africa', 'never', 'even', 'acknowledged', 'vastly', 'misunderstood', 'property', 'hijacking']"
111,"['mac', 'return1', 'abramjee', 'yes', 'may', 'muslim', 'gangs', 'vast', 'majority', 'criminals', 'south', 'africa', 'raping', 'murdering', 'looting', 'hijacking', 'kidnapping', 'child', 'trafficking', 'making', 'life', 'hell', 'ordinary', 'citizens', 'beautiful', 'country', 'black', 'terrorist', 'criminals']"
112,"['tourist', 'mst', 'stp', 'coming', 'south', 'africa', 'ths', 'illegal', 'foreigners', 'remove', 'ths', 'country', 'kidnapping', 'hijacking', 'continue']"
113,"['pollen', 'rungano', 'phillipkudzayi', 'stayed', 'south', 'africa', 'hard', 'signs', 'come', 'truck', 'hijacking', 'cable', 'theft', 'heist', 'crimes', 'many', 'country', 'men', 'prison']"
114,"['33youth', 'unemployment', '665', 'high', 'uncontrollable', 'foreigners', 'influx', 'especially', 'zimbabwe', 'like', 'quarter', 'zimbabweans', 'live', 'south', 'africa', 'high', 'car', 'hijacking', 'vehicles', 'exported', 'mozambique', 'zimbabwe', 'namibia']"
115,"['ian', 'cameron23', 'reason', 'south', 'africa', 'listed', 'dangerous', 'country', 'world', 'stats', 'murders', 'robberies', 'hijacking', 'cooked', 'great', 'sinking', 'fund', 'foreign', 'investors']"
116,"['iammalawi', 'mamogashwa', 'x', 'advovolicious', 'printing', 'fake', 'money', 'yahoo', 'scams', 'hijacking', 'buildings', 'forcing', 'innocent', 'souls', 'prostitution', 'including', 'girls', 'country', 'nigerian', 'living', 'south', 'africa', 'think', 'human', 'trafficking', 'fake', 'pastors', 'forcing', 'innocent', 'girls', 'prostitution', 'bustling', 'shame']"
117,"['tucker', 'carlson', 'issue', 'hijacking', 'south', 'african', 'really', 'symptom', 'collapsing', 'economy', 'german', 'tourist', 'killed', 'murder', 'monday', 'south', 'africa', 'fox', 'news', 'please', 'shed', 'light', 'issue']"
118,"['tourist', 'way', 'lodge', 'shot', 'killed', 'attempted', 'hijacking', 'mondaytourist', 'lodge', 'hijacking', 'killed', 'attempted', 'capetown', 'capetowntribune', 'capetownmagz', 'southafrica', 'worldnews', 'viral', 'latestnews', 'dailyupdates']"
119,"['tee', 'gee', 'mo2', 'witnesses', 'said', 'gun', 'man', 'approached', 'directly', 'shot', 'least', '10', 'times', 'guy', 'killed', 'stray', 'bullet', 'south', 'africa', 'crime', 'scene', 'german', 'tourist', 'shot', 'dead', 'today', 'near', 'ruler', 'park', 'failed', 'hijacking']"
120,"['many', 'taking', 'south', 'africa', 'decaying', 'state', 'developmental', 'state', 'breaking', 'news', 'live', 'gluten', 'police', 'station', 'robbed', '10', 'guns', 'men', 'pretending', 'report', 'hijacking']"
121,"['incident', 'german', 'couple', 'killed', 'hijacking', 'sad', 'terrible', 'country', 'trying', 'recover', 'pandemic', 'etc', 'south', 'africa', 'becoming', 'pits', 'real', 'talk']"
122,"['former', 'gp', 'premier', 'relaxing', 'five', 'star', 'limpopo', 'lodge', 'built', 'swifambo', 'loot', 'nearby', 'german', 'tourist', 'killed', 'hijacking', 'south', 'africa']"
123,"['south', 'africa', 'crumbling', 'state', 'germany', 'tourist', 'attacked', 'killed', 'hijacking', 'safari', 'near', 'white', 'river', 'mpumalanga']"
124,"['vehicle', 'hijacking', 'one', 'main', 'crimes', 'south', 'africa', 'take', 'free', 'online', 'course', 'learn', 'crime', 'conducted', 'raise', 'situational', 'awareness', 'protect', 'take', 'safe', 'real', 'life', 'decisions', 'take', 'course']"
